Designator,Mid X,Mid Y,Rotation,Layer
FB1,80.75,-44.5,180.0,bottom
FB2,80.75,-55.5,180.0,bottom
FB3,89.5,-44.5,180.0,bottom
FB4,89.5,-55.5,180.0,bottom
FB5,114.5,-48.5,0.0,bottom
FB6,114.5,-53.0,0.0,bottom
FB7,89.5,-50.0,180.0,bottom
J1,97.685,-50.0,0.0,top
J2,98.2533,-65.773,90.0,bottom
J3,90.0033,-65.773,90.0,bottom
J4,114.7533,-65.773,90.0,bottom
J5,106.5033,-65.773,90.0,bottom
J6,108.51,-39.24,0.0,top
